No.,Brands,Parent,Country Of Origin,Site,"TOTAL MOBILE SITES SCORE
(0-5)",Total Iphone Score (0-2),Total ipad Score (0-2),"iOS Functionality score
(0-1)",TOTAL iOS SCORE (0-5),Geolocal (0-2),Mobile Innovation (0-3),"TOTAL MOBILE INNOVATION SCORE 
(0-5)",Mobile Total (0-20) ,,"Facebook 
(0-10)","Twitter
(0-5) ","YouTube
(0-5) ",Traditional Scoail Media Total (0-20),Pinterest (0-5),Tumblr (0-5),Instagram (0-5),Google+ (0-5),Emerging Social Media (0-5),Social Media Total (0-20),,Traffic,Web Authority,Quantitative Search (0-10),Google (0-5),Bing (0-5),Mobile (0-5),Qualitative Search (0-5),"Search
 (0-15)",Web Advertising (0-5),Innovation (0-5),"Web
Advertising & Innovation Total
(0-5)","User Generated Content
(0-5)","Email Marketing Content
(0-5)",Digital Marketing Total (0-30),,Brand Translation Visual Aesthetics (0-5),Brand Translation Messaging (0-5),Technology Score (0-5),Search & Nav Score (0-5),Customer Service (0-5),Product Page (0-5),Checkout (0-5),Account (0-5),Total Site Score (0-30), Site Total (0-30),,Total Digital IQ,ADJUSTED DIGITAL IQ,Rank,Class,Percent Rank,E-commerce Enabled,Member?,2011 Digital IQ ,2012-2011 Differential,2011 Digital IQ Percent Rank,2012-2011 % Differential,2010 Digital IQ,1 month Traffic Growth,Annual Traffic Growth,2010 - 2009 Change (%)
11,Chanel,Chanel,France,www.chanel.com,5.00,1.13,1.00,0.38,2.50,1.14,0.25,1.39,13.89,,3.91,2.86,2.73,9.50,0.00,0.00,2.46,2.61,1.24,8.60,,4.0,5.0,9.0,1.5,1.3,2.2,1.59,10.59,0.8,1.0,0.90,4.94,1.87,18.29,,3,3,1.95,0.47,2.75,0.53,0.00,0.00,5.70,8.8,,49.56,121,17,Gifted,74%,n,,107,14,62%,12%,,,,
12,Chloe,Compagnie Financiere Richemont S.A,France,www.chloe.com,3.50,0.00,0.00,0.00,0.00,0.64,0.00,0.64,7.64,,6.10,1.67,1.38,9.15,0.00,3.75,0.00,0.00,0.38,7.62,,2.0,3.0,5.0,0.3,0.0,0.5,0.26,5.26,0.0,0.0,0.00,1.71,1.60,8.57,,2,2,2.55,1.27,1.25,0.28,0.00,0.00,5.36,7.0,,30.84,75,51,Challenged,17%,n,,,NA,,NA,,,,
13,Christian Dior,LVMH,France,www.dior.com,1.00,1.25,0.00,0.50,1.75,0.35,0.25,0.60,4.35,,4.82,2.82,2.64,10.28,3.01,0.00,0.00,2.51,1.45,9.39,,3.0,5.0,8.0,2.0,1.5,1.9,1.89,9.89,1.6,0.5,1.03,4.73,0.27,15.91,,4,4,2.29,1.94,0.25,1.90,0.00,0.00,6.38,10.8,,40.43,99,32,Average,49%,n,,101,-2,56%,-7%,,,,
14,Christian Louboutin,Christian Louboutin,France,www.christianlouboutin.com,2.50,1.25,0.00,0.50,1.75,0.84,0.25,1.09,7.84,,5.13,3.09,0.00,8.21,2.90,0.00,3.90,2.83,3.00,8.97,,3.0,3.0,6.0,0.5,0.3,1.0,0.55,6.55,0.0,0.8,0.38,4.28,0.93,12.14,,4,4,1.56,2.04,1.25,2.15,0.74,1.88,9.62,13.2,,42.16,103,30,Average,53%,Y,,99,4,52%,1%,,,,
15,Coach,"Coach, Inc.",United States,www.coach.com,5.00,0.00,0.00,0.00,0.00,1.24,0.50,1.74,11.74,,5.27,2.51,1.76,9.54,2.69,0.00,3.96,1.79,2.84,9.90,,5.0,3.0,8.0,2.0,0.8,2.5,1.85,9.85,1.6,1.5,1.53,2.87,1.27,15.51,,5,5,3.84,3.75,2.25,3.67,2.97,2.19,18.66,21.5,,58.65,143,6,Genius,92%,Y,,141,2,95%,-3%,,,,
16,Cole Haan,Nike,United States,www.colehaan.com,5.00,0.00,0.00,0.00,0.00,0.88,0.25,1.13,11.13,,3.78,2.06,0.84,6.67,1.34,0.00,2.07,3.80,1.75,6.74,,3.0,2.0,5.0,2.0,1.5,2.0,1.90,6.90,4.8,0.3,2.50,2.49,1.00,12.89,,4,4,2.26,4.50,2.25,3.92,3.49,2.19,18.61,20.0,,50.71,124,14,Gifted,79%,y,,94,30,43%,36%,,,,
17,Diane von Furstenberg,Diane Von Furstenberg,United States,www.dvf.com,5.00,0.00,0.00,0.00,0.00,0.96,0.00,0.96,10.96,,4.70,2.60,1.35,8.65,2.78,1.63,2.46,3.46,2.60,9.00,,2.0,4.0,6.0,1.8,0.3,2.6,1.62,7.62,1.6,1.0,1.28,1.51,2.40,12.80,,5,4,2.83,4.00,1.75,2.65,3.34,2.19,16.76,19.3,,52.08,127,12,Gifted,82%,Y,,117,10,77%,5%,,,,
18,Dolce & Gabbana,Dolce&Gabbana Holding S.r.l.,Italy,www.dolcegabbana.com/,3.00,1.13,0.00,0.25,1.38,1.18,2.00,3.18,10.55,,4.23,2.94,3.08,10.24,2.99,0.53,2.09,3.97,2.48,10.18,,3.0,3.0,6.0,2.3,1.0,1.7,1.90,7.90,0.6,1.0,0.80,3.92,1.67,14.28,,4,5,3.02,1.64,1.25,2.42,1.54,1.25,11.12,15.1,,50.10,123,15,Gifted,76%,Y,,136,-13,91%,-15%,,,,
19,Donna Karan / DKNY,LVMH,United States,http://www.donnakaran.com/,2.50,1.08,1.00,0.42,2.50,0.23,1.00,1.23,8.73,,4.22,2.79,2.88,9.89,2.37,3.48,3.29,0.00,2.61,10.00,,2.0,2.0,4.0,2.7,2.0,2.0,2.41,6.41,0.7,1.5,1.10,1.60,1.80,10.91,,5,5,2.18,3.50,0.75,1.65,2.97,1.88,12.92,17.2,,46.82,115,21,Gifted,65%,Y,,118,-3,79%,-14%,,,,
20,Emilio Pucci,LVMH,Italy,http://www.emiliopucci.com,4.50,0.00,0.00,0.00,0.00,0.24,0.00,0.24,9.24,,3.32,2.24,0.00,5.56,0.98,0.00,0.00,3.33,0.73,5.03,,2.0,2.0,4.0,2.0,0.8,1.5,1.66,5.66,0.0,0.0,0.00,1.17,2.53,9.36,,4,4,2.35,1.21,0.50,2.15,0.83,0.63,7.66,11.7,,35.38,87,46,Challenged,28%,Y,,,NA,,NA,,,,
