No.,Brands,Parent,Country Of Origin,Site,"TOTAL MOBILE SITES SCORE
(0-5)",Total Iphone Score (0-2),Total ipad Score (0-2),"iOS Functionality score
(0-1)",TOTAL iOS SCORE (0-5),Geolocal (0-2),Mobile Innovation (0-3),"TOTAL MOBILE INNOVATION SCORE 
(0-5)",Mobile Total (0-20) ,,"Facebook 
(0-10)","Twitter
(0-5) ","YouTube
(0-5) ",Traditional Scoail Media Total (0-20),Pinterest (0-5),Tumblr (0-5),Instagram (0-5),Google+ (0-5),Emerging Social Media (0-5),Social Media Total (0-20),,Traffic,Web Authority,Quantitative Search (0-10),Google (0-5),Bing (0-5),Mobile (0-5),Qualitative Search (0-5),"Search
 (0-15)",Web Advertising (0-5),Innovation (0-5),"Web
Advertising & Innovation Total
(0-5)","User Generated Content
(0-5)","Email Marketing Content
(0-5)",Digital Marketing Total (0-30),,Brand Translation Visual Aesthetics (0-5),Brand Translation Messaging (0-5),Technology Score (0-5),Search & Nav Score (0-5),Customer Service (0-5),Product Page (0-5),Checkout (0-5),Account (0-5),Total Site Score (0-30), Site Total (0-30),,Total Digital IQ,ADJUSTED DIGITAL IQ,Rank,Class,Percent Rank,E-commerce Enabled,Member?,2011 Digital IQ ,2012-2011 Differential,2011 Digital IQ Percent Rank,2012-2011 % Differential,2010 Digital IQ,1 month Traffic Growth,Annual Traffic Growth,2010 - 2009 Change (%)
17,Diane von Furstenberg,Diane Von Furstenberg,United States,www.dvf.com,5,0,0,0,0,0.96,0,0.96,10.96,,4.7,2.6,1.35,8.65,2.78,1.63,2.46,3.46,2.6,9,,2,4,6,1.8,0.3,2.6,1.62,7.62,1.6,1,1.28,1.51,2.4,12.8,,5,4,2.83,4,1.75,2.65,3.34,2.19,16.76,19.3,,52.08,127,12,Gifted,82%,Y,,117,10,77%,5%,,,,
50,Stella McCartney,Gucci Group (PPR),United Kingdom,http://www.stellamccartney.com/,5,0,1.25,0.5,1.75,1.54,0.75,2.29,14.04,,4.74,3.62,1.17,9.53,1.4,1.15,3.55,3.52,2.45,9.58,,2,1,3,1.5,1.8,1.7,1.6,4.6,2.2,0,1.12,2.73,1.47,9.91,,5,5,2.29,2.5,1.5,1.92,3.34,2.19,13.74,17.8,,51.34,126,13,Gifted,80%,Y,,,NA,,NA,,,,
16,Cole Haan,Nike,United States,www.colehaan.com,5,0,0,0,0,0.88,0.25,1.13,11.13,,3.78,2.06,0.84,6.67,1.34,0,2.07,3.8,1.75,6.74,,3,2,5,2,1.5,2,1.9,6.9,4.8,0.3,2.5,2.49,1,12.89,,4,4,2.26,4.5,2.25,3.92,3.49,2.19,18.61,20,,50.71,124,14,Gifted,79%,y,,94,30,43%,36%,,,,
18,Dolce & Gabbana,Dolce&Gabbana Holding S.r.l.,Italy,www.dolcegabbana.com/,3,1.13,0,0.25,1.38,1.18,2,3.18,10.55,,4.23,2.94,3.08,10.24,2.99,0.53,2.09,3.97,2.48,10.18,,3,3,6,2.3,1,1.7,1.9,7.9,0.6,1,0.8,3.92,1.67,14.28,,4,5,3.02,1.64,1.25,2.42,1.54,1.25,11.12,15.1,,50.1,123,15,Gifted,76%,Y,,136,-13,91%,-15%,,,,
40,Michael Kors,Michael Kors Inc.,United States,http://www.michaelkors.com/,1,0,0,0,0,1,0.5,1.5,3.5,,6.12,3.26,2.05,11.43,2.91,0,3.75,3.38,3,11.54,,4,3,7,2.3,2.3,2.2,2.24,9.24,2.4,2.3,2.32,3.63,1.33,16.52,,4,3,2.26,4.75,3.25,2.24,3.34,1.88,17.71,18.5,,50.1,123,15,Gifted,76%,y,,126,-3,81%,-5%,,,,
11,Chanel,Chanel,France,www.chanel.com,5,1.13,1,0.38,2.5,1.14,0.25,1.39,13.89,,3.91,2.86,2.73,9.5,0,0,2.46,2.61,1.24,8.6,,4,5,9,1.5,1.3,2.2,1.59,10.59,0.8,1,0.9,4.94,1.87,18.29,,3,3,1.95,0.47,2.75,0.53,0,0,5.7,8.8,,49.56,121,17,Gifted,74%,n,,107,14,62%,12%,,,,
43,Oscar de la Renta,Oscar de la Renta Ltd.,United States,http://www.oscardelarenta.com/,2.5,0,0,0,0,1.39,0,1.39,6.39,,5.23,2.83,0.67,8.72,2.83,1.78,3.79,1.05,2.93,9.32,,2,3,5,2.3,1.5,2,2.05,7.05,2.2,3.3,2.72,2.01,2.87,14.65,,4,3,3.18,3.5,4,2.24,1.91,1.25,16.08,17.3,,47.67,117,18,Gifted,71%,Y,,96,21,45%,26%,,,,
64,Vineyard Vines,"Vineyard Vines, L.L.C.",United States,http://www.vineyardvines.com/,5,1.25,0,0,1.25,0.69,0,0.69,11.94,,5.38,2.2,1.87,9.46,2.53,0,2.3,3.6,2.29,9.4,,3,2,5,2.5,1.3,2.5,2.22,7.22,1.2,1,1.12,1.81,0.27,10.41,,2,2,2.9,4.75,1.75,2.24,3.34,2.19,17.17,15.9,,47.63,117,18,Gifted,71%,Y,,,NA,,NA,,,,
21,Ermenegildo Zegna,Ermenegildo Zegna,Italy,http://www.zegna.com,2.5,1,1.13,0.25,2.38,0.38,1,1.38,8.75,,3.58,1.89,2.28,7.75,1.61,0,0.86,0,0.99,6.99,,2,3,5,2.5,1,2.7,2.24,7.24,2.7,0.3,1.46,1.95,2.6,13.25,,4,5,2.46,4.02,2.5,3.17,2.26,1.25,15.66,18.5,,47.48,116,20,Gifted,69%,y,,102,14,58%,11%,,,,
9,Calvin Klein,Phillips-Van Heusen,United States,www.calvinklein.com,2.5,0,0,0,0,0.64,0,0.64,5.64,,4.66,2.8,2.08,9.54,0,3.7,1.76,0,1.07,8.49,,3,2,5,2.9,2.3,3.1,2.81,7.81,3.8,0.8,2.26,3.98,1.53,15.59,,4,4,2.83,2.27,1.75,3.74,2.49,1.88,14.95,17.2,,46.94,115,21,Gifted,65%,y,,116,-1,72%,-7%,,,,
19,Donna Karan / DKNY,LVMH,United States,http://www.donnakaran.com/,2.5,1.08,1,0.42,2.5,0.23,1,1.23,8.73,,4.22,2.79,2.88,9.89,2.37,3.48,3.29,0,2.61,10,,2,2,4,2.7,2,2,2.41,6.41,0.7,1.5,1.1,1.6,1.8,10.91,,5,5,2.18,3.5,0.75,1.65,2.97,1.88,12.92,17.2,,46.82,115,21,Gifted,65%,Y,,118,-3,79%,-14%,,,,
30,John Varvatos,VF Corp,United States,http://www.johnvarvatos.com/,5,0,0,0,0,0.92,0,0.92,10.92,,4.57,1.89,1.86,8.32,1.76,0,2.03,0,1.51,7.87,,2,2,4,1.3,2,2.1,1.57,5.57,0.6,0.5,0.55,1.71,3.8,11.63,,3,4,1.69,4.25,1.75,2.4,3.2,1.88,15.16,16.6,,47.04,115,21,Gifted,65%,y,,113,2,70%,-5%,,,,
52,Ted Baker,Ted Baker PLC,United Kingdom,http://www.tedbaker.com,5,0,0,0,0,0.31,0,0.31,10.31,,3.86,2.42,2.16,8.44,1.87,0,0,0,0.75,7.35,,2,2,4,2.5,1,2.7,2.24,6.24,2.1,1,1.53,1.71,3.73,13.22,,3,2,1.53,3.75,2.25,2.9,3.49,1.88,15.79,15.6,,46.47,114,24,Gifted,63%,Y,,,NA,,NA,,,,
